DATES,U Revenue,D CR,U OE,D NOI,D CAPEX,D WK,U FCF
12/31/2016,40231.4288171155,8376.96067880746,23204.6580011939,323.85181796618,2278.8582667643,60032.8839871081,19438.2695192953
03/31/2017,34380.4195180646,8155.44876141098,25134.9701696375,659.576690548025,2387.88702505886,73775.8924578507,19085.6898744097
06/30/2017,36953.2526538114,8367.44758829458,18826.6623834391,1533.42939191865,3701.12138065735,72140.4028368753,29278.2329481591
09/30/2017,33718.7909986511,7539.58023533147,19567.9068758005,1560.33359146904,3444.70109535844,73342.9704313914,32047.3740187866
12/31/2017,42485.4705311127,7488.2963540257,20112.3948253586,908.345015215403,3969.96360184825,96013.2764529895,24116.2881202725
03/31/2018,36976.4114151557,7496.3321888583,19630.2155772959,851.702999877304,3976.71877692768,89389.5056213988,21821.8205198374
06/30/2018,40625.2126796626,8521.94527591649,19591.7568961484,851.702999877304,3986.69409024956,63329.3622145371,14634.9851611359
09/30/2018,40556.860358329,8459.21818301536,21005.940677183,1082.54071516964,3894.7479632153,44674.5101418103,18086.5800776364
12/31/2018,50665.7700014442,9542.34632804987,19317.3566718046,1495.56251560917,3842.60252853554,45062.3564981534,24387.4690114761
03/31/2019,45218.1762189878,8490.24764067574,21670.5500585307,2266.68446771722,3281.89327589413,51314.1616520678,24986.1443554222
06/30/2019,45002.6838734039,8219.19916347626,19449.611090493,2650.5121517674,3517.06932559278,57353.0562817235,26876.789931091
09/30/2019,47026.0184679969,6641.76911882503,21927.7642853432,2625.66811905629,3750.41011090787,59727.9654187774,25912.726073195
12/31/2019,60135.8699707824,6595.27726997562,27550.1793270458,1876.87683843844,4139.61196156206,62494.1179462338,48188.275672282
03/31/2020,60722.4467204204,6854.26617933261,25091.4328008585,2068.58589839717,3617.13628880889,86009.3044333635,44669.4313287969
